Master Transmission Time,Master File Size,Slave Transmission Time,Slave File Size
1020.1985,50000000,1023.9837,50000000
0.0306,5000,0.0357,5000
0.1603,125000,0.2279,125000
0.0441,10000,0.0565,10000
0.0314,12500,0.0598,12500
0.5532,250000,0.5791,250000
0.9953,500000,1.6472,500000
27.3108,12500000,30.642,12500000
3.3017,2500000,5.457,2500000
6.8488,5000000,8.2815,5000000
0.0685,25000,0.0822,25000
0.0718,125,0.0252,125
0.1843,50000,0.1996,50000
0.0213,500,0.0266,500
1986.487,100000000,1990.3441,100000000
0.2769,1000,0.2298,1000
0.0425,2500,0.0299,2500
0.0234,1250,0.027,1250
2.3516,1250000,5.4141,1250000
1.7342,1000000,3.0928,1000000
0.0175,250,0.0232,250
50.1826,25000000,954.0014,25000000
0.2065,100000,0.3286,100000
17.6327,10000000,19.3051,10000000
